meter_number,household_name,address,purchase_date,purchase_time,kwh_purchased,amount_paid,supplier,meter_type
SSAM-B004,Thandi Khumalo,Block B House 4 Soweto,2/4/2025,13:25:37,160,R435.20,City Power,smart
SSAM-B005,Jacob Ndlovu,Block B House 5 Soweto,2/11/2024,15:40:22,140,R380.80,City Power,smart
SSAM-B006,Precious Magwaza,Block B House 6 Soweto,2/7/2024,9:15:50,175,R476.00,City Power,smart
SSAM-B007,Emmanuel Shabangu,Block B House 7 Soweto,2/14/2024,12:55:33,190,R516.80,City Power,smart
SSAM-B008,Nosipho Zulu,Block B House 8 Soweto,2/5/2024,16:30:10,135,R367.20,City Power,smart
SSAM-B009,William Nkosi,Block B House 9 Soweto,2/12/2024,10:40:45,155,R421.60,City Power,smart
SSAM-B010,Grace Mthembu,Block B House 10 Soweto,2/2/2025,14:05:22,165,R448.80,City Power,smart
SSAM-B011,Peter Zuma,Block B House 11 Soweto,2/9/2024,11:20:37,145,R394.40,City Power,smart
SSAM-B012,Faith Ndlovu,Block B House 12 Soweto,2/6/2024,15:50:15,170,R462.40,City Power,smart
SSAM-B013,Richard Sithole,Block B House 13 Soweto,2/13/2024,9:35:50,125,R340.00,City Power,smart
SSAM-B014,Lindiwe Ngcobo,Block B House 14 Soweto,2/4/2025,16:15:33,180,R489.60,City Power,smart
SSAM-B015,Joseph Dlamini,Block B House 15 Soweto,2/11/2024,10:55:22,160,R435.20,City Power,smart
SSAC-C001,Richard Sithole,Block C House 1 Soweto,2/7/2024,9:10:20,140,R380.80,City Power,prepaid
SSAC-C002,Grace Mthembu,Block C House 2 Soweto,2/12/2024,15:05:33,125,R340.00,City Power,prepaid
SSAC-C003,Peter Zuma,Block C House 3 Soweto,2/2/2025,8:50:15,0,R0.00,City Power,prepaid
SSAC-C004,Faith Ndlovu,Block C House 4 Soweto,2/9/2024,14:18:27,170,R462.40,City Power,prepaid
SSAC-C005,Themba Nkosi,Block C House 5 Soweto,2/15/2024,11:40:50,155,R421.60,City Power,prepaid
SSAC-C006,Siphiwe Mbatha,Block C House 6 Soweto,2/5/2025,16:25:33,135,R367.20,City Power,prepaid
SSAC-C007,Naledi Mokoena,Block C House 7 Soweto,2/10/2024,9:55:15,180,R489.60,City Power,prepaid
SSAC-C008,Bongani Cele,Block C House 8 Soweto,2/4/2025,14:30:22,145,R394.40,City Power,prepaid
SSAC-C009,Mandisa Msomi,Block C House 9 Soweto,2/13/2024,10:15:45,165,R448.80,City Power,prepaid
SSAC-C010,Thabo Ndaba,Block C House 10 Soweto,2/5/2025,15:40:10,125,R340.00,City Power,prepaid
SSAC-C011,Hloni Mabuza,Block C House 11 Soweto,2/14/2024,8:50:37,170,R462.40,City Power,prepaid
SSAC-C012,Lungile Vilakazi,Block C House 12 Soweto,2/4/2024,16:05:22,140,R380.80,City Power,prepaid
SSAC-C013,Zola Ntuli,Block C House 13 Soweto,2/11/2024,11:30:50,190,R516.80,City Power,prepaid
SSAC-C014,Nomvula Mkhize,Block C House 14 Soweto,2/5/2025,14:45:15,135,R367.20,City Power,prepaid
SSAC-C015,Andile Buthelezi,Block C House 15 Soweto,2/12/2024,9:20:33,160,R435.20,City Power,prepaid
SSAM-D001,John Doe,Block D House 1 Soweto,2/1/2024,9:15:22,200,R544.00,City Power,smart
SSAM-D002,Marsha Mbeki,Block D House 2 Soweto,2/1/2024,10:15:22,200,R544.00,City Power,smart
SSAM-D003,Damon Salvotore,Block D House 3 Soweto,2/1/2024,11:15:22,200,R544.00,City Power,smart
SSAM-D004,Elena Gilbert,Block D House 4 Soweto,2/1/2024,2:15:22,200,R544.00,City Power,smart
SSAM-D005,Matt Donorvenn,Block D House 5 Soweto,2/1/2024,13:15:22 AM,200,R544.00,City Power,smart
SSAM-D006,Bonnie Bennett,Block D House 6 Soweto,2/1/2024,7:15:22,200,R544.00,City Power,smart
SSAM-D007,Klaus Michelson,Block D House 7 Soweto,2/1/2024,7:30:22,200,R544.00,City Power,smart
SSAM-D008,Ashely Zwane,Block D House 8 Soweto,2/1/2024,8:30:22,200,R544.00,City Power,smart
SSAM-D009,Zama Zungu,Block D House 9 Soweto,2/1/2024,9:10:22,200,R544.00,City Power,smart
SSAM-D010,Ayanda Mabaso,Block D House 10 Soweto,2/1/2024,10:15:22,200,R544.00,City Power,smart
SSAM-D011,Stephan Salvotore,Block D House 11 Soweto,2/1/2024,18:15:22 AM,200,R544.00,City Power,smart
SSAM-D012,Katherine Smith,Block D House 12 Soweto,2/1/2024,13:15:22 AM,200,R544.00,City Power,smart
SSAM-D013,Thabo Maluleke,Block D House 13 Soweto,2/1/2024,8:00:22,200,R544.00,City Power,smart
SSAM-D014,Cedric Zwane,Block D House 14 Soweto,2/1/2024,8:20:22,200,R544.00,City Power,smart
SSAM-D015,Renelwe Mofoekeng,Block D House 15 Soweto,2/1/2024,8:15:22,200,R544.00,City Power,smart
